Source data:
n_boxes: 6, m: 5, d: 4, nExp: 10000
# 68, Balls: Green, Red, Green, Green
# 69, Balls: Red, Blue, Blue, Blue
# 70, Balls: Black, Green, Black, Black
# 71, Balls: Black, Black, White, Black
# 72, Balls: White, Blue, Black, White
# 73, Balls: Green, Blue, Blue, Blue
# 74, Balls: Blue, Red, Green, Blue
# 75, Balls: Black, White, Red, Green
# 76, Balls: Green, Green, Blue, Black
# 77, Balls: Black, Green, Red, White
# 78, Balls: Blue, Blue, Red, Blue
# 79, Balls: Green, Green, Black, Black
# 80, Balls: Green, Black, Black, Red
# 81, Balls: Blue, Black, Blue, White
# 82, Balls: Blue, Green, Black, Black
# 83, Balls: White, White, Green, White
# 84, Balls: White, Black, Blue, Red
# 85, Balls: Red, Red, Green, Red
# 86, Balls: Black, Red, Green, Blue
# 87, Balls: Green, Blue, Blue, Blue
# 88, Balls: Black, Green, Blue, Blue
# 89, Balls: Blue, Blue, Black, White
# 90, Balls: Black, Black, Blue, Blue
# 91, Balls: Green, Red, Blue, Blue
# 92, Balls: Black, Green, Green, Black
# 93, Balls: Green, Green, White, Red
# 94, Balls: Black, Blue, Green, Blue
# 95, Balls: Blue, Green, Green, Green
# 96, Balls: Black, White, Black, White
# 97, Balls: Red, Black, Blue, Black
# 98, Balls: Black, Green, Black, Red
# 99, Balls: Blue, Black, Blue, Green
# 100, Balls: Green, Green, Blue, Green
# 101, Balls: White, Green, Blue, Blue
# 102, Balls: Green, Black, Red, Green
# 103, Balls: Green, Red, Blue, Black
# 104, Balls: Green, Black, Red, Red
# 105, Balls: Blue, White, White, Green
# 106, Balls: Blue, Blue, Black, Green
# 107, Balls: Green, Black, Black, White
# 108, Balls: Blue, White, Blue, Blue
# 109, Balls: White, Red, Red, Blue
# 110, Balls: Green, Black, Black, Green
# 111, Balls: Blue, Green, Green, Blue
# 112, Balls: Green, Black, Black, Blue
# 113, Balls: White, Black, Green, White
# 114, Balls: White, Blue, Black, White
# 115, Balls: Red, Black, Green, Black
# 116, Balls: Black, Red, Blue, Red
# 117, Balls: Blue, Blue, White, Red
# 118, Balls: Green, White, White, Green
# 119, Balls: Green, Black, Black, Blue
# 120, Balls: Blue, Green, Blue, Blue
# 121, Balls: Black, Red, Green, Blue
# 122, Balls: White, Black, Black, Green
# 123, Balls: Green, Black, Blue, White
# 124, Balls: Black, Green, Green, Black
# 125, Balls: Green, Blue, Blue, Green
# 126, Balls: Red, Blue, White, Green
# 127, Balls: Blue, Green, Black, Red
# 128, Balls: Black, Black, White, Black
# 129, Balls: Blue, Blue, Green, Blue
# 130, Balls: Black, Black, Blue, Blue
# 131, Balls: White, Blue, Green, Black
# 132, Balls: Green, Blue, White, Green
# 133, Balls: Red, White, Black, Blue
# 134, Balls: Red, Green, Blue, Red
# 135, Balls: Red, Green, White, White
# 136, Balls: Black, Blue, Green, Black
# 137, Balls: Green, Black, Blue, Blue
# 138, Balls: Red, White, Blue, White
# 139, Balls: Blue, Green, Black, Green
# 140, Balls: Black, Black, Red, White
# 141, Balls: Red, White, Green, Blue
# 142, Balls: Green, Green, Black, Blue
# 143, Balls: Black, Blue, White, White
# 144, Balls: Blue, Green, White, White
# 145, Balls: Black, Red, Black, Blue
# 146, Balls: Black, Green, Black, Black
# 147, Balls: Blue, White, White, Green
# 148, Balls: Red, Blue, Black, Blue
# 149, Balls: Black, Blue, Blue, Black
# 150, Balls: Green, White, Green, Blue
# 151, Balls: Red, Green, Black, Black
# 152, Balls: Blue, Black, Black, Black
# 153, Balls: Red, Blue, Blue, White
# 154, Balls: Blue, White, Blue, Green
# 155, Balls: Blue, Black, Blue, Red
# 156, Balls: Green, Blue, Green, Green
# 157, Balls: Red, Black, Blue, Red
# 158, Balls: White, White, Blue, Green
# 159, Balls: Blue, Green, Black, Blue
# 160, Balls: Blue, Green, Black, Blue
# 161, Balls: Blue, Red, Blue, Blue
# 162, Balls: Green, Blue, Blue, White
# 163, Balls: Black, Red, Red, Black
# 164, Balls: Green, Red, Red, Black
# 165, Balls: Blue, Blue, Black, Green
# 166, Balls: Blue, Green, Blue, Blue
# 167, Balls: Green, Green, Green, Green
# 168, Balls: White, Red, White, Black
# 169, Balls: Red, Blue, White, Red
# 170, Balls: Red, Black, Red, Red
# 171, Balls: Black, Blue, Green, Green
# 172, Balls: Blue, Blue, Blue, Green
# 173, Balls: Green, Blue, Black, Green
# 174, Balls: Blue, Blue, Black, White
# 175, Balls: Blue, Green, Red, Blue
# 176, Balls: White, Green, Black, Blue
# 177, Balls: Green, White, Blue, Green
# 178, Balls: Blue, Blue, White, Blue
# 179, Balls: White, White, Black, Blue
# 180, Balls: White, Green, White, Red
# 181, Balls: Green, Black, White, Red
# 182, Balls: White, Green, Blue, Red
# 183, Balls: Green, Blue, White, White
# 184, Balls: Green, Blue, Blue, Black
# 185, Balls: Black, Black, Black, Black
# 186, Balls: Black, Red, Black, White
# 187, Balls: Blue, Blue, Blue, Red
# 188, Balls: Green, Green, Green, Blue
# 189, Balls: Green, Green, Red, Blue
# 190, Balls: White, Green, Blue, Green
# 191, Balls: Black, Black, Blue, Black
# 192, Balls: Blue, Blue, White, Blue
# 193, Balls: Blue, Blue, Red, Red
# 194, Balls: Red, Black, Black, Green
# 195, Balls: Green, Blue, Green, Green
# 196, Balls: Black, Black, Blue, Blue
# 197, Balls: White, Blue, Blue, Blue
# 198, Balls: Blue, Blue, Blue, Black
# 199, Balls: Red, Black, Red, Blue
# 200, Balls: Blue, Red, Red, Black
# 201, Balls: Blue, Green, Black, Black
# 202, Balls: Black, White, Blue, Blue
# 203, Balls: White, Black, Red, Black
# 204, Balls: Red, White, Blue, Green
# 205, Balls: Red, Black, Blue, Red
# 206, Balls: Green, Red, Red, Red
# 207, Balls: Blue, Blue, White, Green
# 208, Balls: Green, White, Red, White
# 209, Balls: Green, Green, Blue, Black
# 210, Balls: White, Black, Green, Black
# 211, Balls: Blue, Blue, White, Red
# 212, Balls: White, Blue, Blue, Red
# 213, Balls: Green, Blue, Black, Green
# 214, Balls: White, Blue, Black, Blue
# 215, Balls: White, Blue, Black, Red
# 216, Balls: Green, Blue, White, Blue
# 217, Balls: Blue, Red, Black, Blue
# 218, Balls: Red, White, Red, Blue
# 219, Balls: Blue, Blue, Black, Green
# 220, Balls: Blue, Black, Blue, Blue
# 221, Balls: White, Black, Black, White
# 222, Balls: Black, White, Blue, Black
# 223, Balls: Blue, Black, Blue, Black
# 224, Balls: Green, Red, Red, Black
# 225, Balls: Blue, Blue, Black, White
# 226, Balls: Black, Blue, White, Black
# 227, Balls: Black, White, Black, Green
# 228, Balls: Black, Blue, Green, Blue
# 229, Balls: Blue, Black, White, Green
# 230, Balls: Green, Red, Black, Blue
# 231, Balls: Blue, White, White, White
# 232, Balls: White, Blue, Green, Blue
# 233, Balls: Black, White, Green, White
# 234, Balls: Blue, Black, White, Red
# 235, Balls: Black, Blue, Red, Black
# 236, Balls: Green, Black, Blue, Red
# 237, Balls: Black, Black, White, White
# 238, Balls: Blue, Blue, Blue, Blue
# 239, Balls: Green, Black, Green, Green
# 240, Balls: Green, White, Blue, Green
# 241, Balls: Green, Blue, Blue, Black
# 242, Balls: Black, Black, Green, Black
# 243, Balls: White, Blue, Blue, Blue
# 244, Balls: Black, Green, Blue, Black
# 245, Balls: Black, Black, White, Black
# 246, Balls: Green, White, Blue, White
# 247, Balls: Blue, Blue, Green, Blue
# 248, Balls: Black, Green, Green, Black
# 249, Balls: Red, Black, Green, Blue
# 250, Balls: Green, Blue, Green, Blue
# 251, Balls: Green, Green, Blue, Black
# 252, Balls: White, Black, White, Blue
# 253, Balls: Black, Red, Green, Black
# 254, Balls: Blue, Black, Black, Red
# 255, Balls: Blue, Green, Green, Black
# 256, Balls: Green, Green, Green, Blue
# 257, Balls: Blue, Blue, Blue, Green
# 258, Balls: Green, Blue, Blue, White
# 259, Balls: White, Black, Red, Blue
# 260, Balls: Green, Red, Green, Red
# 261, Balls: White, Red, White, Blue
# 262, Balls: Blue, Green, Black, Black
# 263, Balls: Black, Black, Green, Black
# 264, Balls: Blue, White, Blue, White
# 265, Balls: Red, Green, Red, Black
# 266, Balls: Black, White, Black, Black
# 267, Balls: White, Green, Blue, Green
# 268, Balls: Black, Black, Black, Blue
# 269, Balls: White, Red, White, Green
# 270, Balls: Black, Black, Green, White
# 271, Balls: Blue, Green, Blue, Black
# 272, Balls: White, Red, Black, Green
# 273, Balls: Green, Blue, Blue, Blue
# 274, Balls: Blue, Black, Green, Black
# 275, Balls: White, White, Green, White
# 276, Balls: Blue, White, Green, White
# 277, Balls: Green, Blue, Green, Red
# 278, Balls: Black, Black, Green, Red
# 279, Balls: Blue, Black, Blue, White
# 280, Balls: Black, Green, Green, White
# 281, Balls: Green, White, Blue, Red
# 282, Balls: Black, Red, Blue, Green
# 283, Balls: Green, Blue, Blue, Black
# 284, Balls: White, Green, Black, Red
# 285, Balls: Green, White, White, Green
# 286, Balls: White, Blue, Blue, Black
# 287, Balls: Blue, Blue, Blue, White
# 288, Balls: Black, Green, Green, Black
# 289, Balls: Red, Red, Red, Blue
# 290, Balls: Green, Blue, Green, White
# 291, Balls: Blue, White, White, Blue
# 292, Balls: Black, Blue, Black, Black
# 293, Balls: White, Green, White, Black
# 294, Balls: White, Green, Blue, Black
# 295, Balls: Red, Red, Black, Black
# 296, Balls: Black, Red, Green, Red
# 297, Balls: Green, Red, White, Green
# 298, Balls: Red, Green, Green, Green
# 299, Balls: White, Blue, White, Red
# 300, Balls: Blue, Blue, White, Black
# 301, Balls: Blue, Blue, Red, Green
# 302, Balls: Red, Red, Green, Black
# 303, Balls: Blue, Red, White, White
# 304, Balls: Black, White, Black, Green
# 305, Balls: White, Blue, White, Blue
# 306, Balls: Black, Red, White, Red
# 307, Balls: Red, Red, Black, Black
# 308, Balls: Red, Black, Red, Black
# 309, Balls: Red, Black, Blue, Green
# 310, Balls: Green, Green, Green, Black
# 311, Balls: Black, Black, Black, Blue
# 312, Balls: Blue, Black, Blue, White
# 313, Balls: Blue, Red, Green, Red
# 314, Balls: Red, Green, Red, White
# 315, Balls: Black, Black, Green, Black
# 316, Balls: Black, Black, Black, Green
# 317, Balls: Blue, Red, Red, Blue
# 318, Balls: White, Red, Green, White
# 319, Balls: Red, Blue, Blue, Red
# 320, Balls: Blue, Green, Black, White
# 321, Balls: White, Blue, Black, Blue
# 322, Balls: Blue, Black, Blue, Green
# 323, Balls: Black, Black, Green, Green
# 324, Balls: Red, White, White, Black
# 325, Balls: Red, Red, Black, Red
# 326, Balls: Black, Green, White, Green
# 327, Balls: Green, Blue, Blue, White
# 328, Balls: Black, Black, Blue, White
# 329, Balls: Blue, Blue, White, Black
# 330, Balls: Green, White, White, Red
# 331, Balls: Red, Black, Blue, Red
# 332, Balls: Black, Blue, Black, White
# 333, Balls: Green, Red, Blue, Blue
# 334, Balls: Black, Blue, Green, Black
# 335, Balls: Black, Black, Blue, White
# 336, Balls: White, Blue, Red, Green
# 337, Balls: Blue, Black, Green, Blue
# 338, Balls: Black, Black, White, Red
# 339, Balls: White, White, White, White
# 340, Balls: Black, White, Black, Green
# 341, Balls: White, Green, Blue, Black
# 342, Balls: Black, White, Blue, White
# 343, Balls: Red, Blue, Blue, Blue
# 344, Balls: Red, Green, Red, Green
# 345, Balls: Blue, Black, Blue, White
# 346, Balls: Blue, Green, Black, Black
# 347, Balls: Black, Black, Blue, White
# 348, Balls: Black, Blue, Black, Blue
# 349, Balls: White, Red, Red, Red
# 350, Balls: Red, Blue, White, Blue
# 351, Balls: Red, White, White, Blue
# 352, Balls: Green, Blue, Green, Black
# 353, Balls: Black, White, Blue, Green
# 354, Balls: White, White, Black, White
# 355, Balls: Blue, White, Blue, Red
# 356, Balls: Black, Black, Green, Blue
# 357, Balls: White, Red, Blue, Blue
# 358, Balls: Black, Blue, Green, White
# 359, Balls: Blue, Black, Blue, White
# 360, Balls: White, Red, Red, White
# 361, Balls: Green, Black, Black, Blue
# 362, Balls: Red, Green, Black, Black
# 363, Balls: Blue, Green, Blue, Black
# 364, Balls: Black, Green, Blue, White
# 365, Balls: White, Green, Green, Black
# 366, Balls: Blue, White, White, White
# 367, Balls: Blue, Blue, Red, Red
# 368, Balls: Black, White, White, Green
# 369, Balls: White, White, White, Blue
# 370, Balls: Black, Red, Blue, Blue
# 371, Balls: Black, Green, White, Black
# 372, Balls: White, Blue, Black, White
# 373, Balls: Black, Black, Red, Red
# 374, Balls: Green, Blue, Red, Green
# 375, Balls: Black, Green, Blue, Green
# 376, Balls: Green, Green, Blue, Blue
# 377, Balls: White, Blue, Black, Blue
# 378, Balls: White, Green, White, White
# 379, Balls: Red, Blue, Green, Blue
# 380, Balls: Blue, White, Blue, Blue
# 381, Balls: Blue, Blue, White, Black
# 382, Balls: Green, Black, Green, Blue
# 383, Balls: Blue, White, Red, Blue
# 384, Balls: White, Blue, Blue, Blue
# 385, Balls: Blue, Blue, Red, Black
# 386, Balls: Black, White, Black, White
# 387, Balls: White, Green, Blue, Blue
# 388, Balls: Black, Red, Green, Black
# 389, Balls: White, Green, Green, Black
# 390, Balls: Green, White, Black, White
# 391, Balls: Red, Red, Green, Blue
# 392, Balls: Red, Green, Blue, Blue
# 393, Balls: White, Red, Green, Green
# 394, Balls: Blue, Black, White, White
# 395, Balls: Red, Black, Black, White
# 396, Balls: Black, Black, Black, Red
# 397, Balls: Red, Blue, White, Blue
# 398, Balls: Green, Red, Black, White
# 399, Balls: Green, Blue, Blue, Green
# 400, Balls: Blue, Black, Green, Green
# 401, Balls: Black, Black, Black, White
# 402, Balls: Blue, Black, White, White
# 403, Balls: Blue, Blue, Blue, Green
# 404, Balls: Black, Black, Red, White
# 405, Balls: White, Red, Green, Blue
# 406, Balls: Blue, Green, White, Red
# 407, Balls: White, Red, Black, Green
# 408, Balls: White, White, Black, Green
# 409, Balls: Red, Blue, Green, Red
# 410, Balls: Black, Blue, Green, Black
# 411, Balls: Green, White, Black, Green
# 412, Balls: Black, Green, Black, Red
# 413, Balls: Blue, Blue, Green, Blue
# 414, Balls: Green, Blue, Blue, Black
# 415, Balls: Black, Red, Blue, Black
# 416, Balls: Black, Red, White, White
# 417, Balls: Green, Black, Blue, Blue
# 418, Balls: Black, Black, Blue, Green
# 419, Balls: Blue, White, White, Black
# 420, Balls: Blue, White, Black, White
# 421, Balls: Blue, White, Red, Red
# 422, Balls: Green, Green, Black, Black
# 423, Balls: Red, White, White, Blue
# 424, Balls: Blue, Green, Green, Blue
# 425, Balls: Black, Blue, White, Blue
# 426, Balls: Green, Green, Black, White
# 427, Balls: Black, Black, Red, Red
# 428, Balls: Blue, Black, White, Black
# 429, Balls: Green, Blue, White, White
# 430, Balls: Green, Black, White, Blue
# 431, Balls: Black, Black, Green, White
# 432, Balls: White, White, Black, Blue
# 433, Balls: Red, Black, Blue, Black
# 434, Balls: Green, Blue, White, Black
# 435, Balls: White, Black, Green, White
# 436, Balls: Black, Black, Black, Green
# 437, Balls: Black, Green, Black, White
# 438, Balls: White, White, Green, Blue
# 439, Balls: Red, Green, Red, Blue
# 440, Balls: Blue, Black, Blue, Red
# 441, Balls: White, Blue, Blue, Green
# 442, Balls: Green, White, Blue, Green
# 443, Balls: Blue, White, Blue, Blue
# 444, Balls: Red, Green, Blue, Blue
# 445, Balls: Blue, Blue, Red, Green
# 446, Balls: Red, Black, Black, White
# 447, Balls: Black, Green, Blue, White
# 448, Balls: Black, Green, Black, Green
# 449, Balls: Black, Green, Black, Green
# 450, Balls: White, White, Blue, White
# 451, Balls: Black, Red, Green, Blue
# 452, Balls: Green, Red, Black, Green
# 453, Balls: White, White, Black, Green
# 454, Balls: Black, Blue, Black, Black
# 455, Balls: Green, Green, Black, Red
# 456, Balls: White, White, Red, Black
# 457, Balls: Black, Green, White, Black
# 458, Balls: White, Black, Black, Green
# 459, Balls: Black, White, Green, White
# 460, Balls: Black, Black, Green, Blue
# 461, Balls: White, Blue, White, Blue
# 462, Balls: Blue, Blue, Black, Black
# 463, Balls: Black, Black, Green, Black
# 464, Balls: White, Black, Green, Black
# 465, Balls: Black, Blue, White, Green
# 466, Balls: Black, Blue, Black, Blue
# 467, Balls: Blue, Blue, Blue, Blue
# 468, Balls: White, Blue, Blue, White
# 469, Balls: Blue, Red, Green, White
# 470, Balls: Blue, White, Green, White
# 471, Balls: White, Green, Green, White
# 472, Balls: White, Blue, Green, Blue
# 473, Balls: Green, Black, Red, Green
# 474, Balls: White, Black, Green, Black
# 475, Balls: Red, Black, Red, Black
# 476, Balls: Green, White, Green, Red
# 477, Balls: White, Green, White, Red
# 478, Balls: Green, Blue, Red, Black
# 479, Balls: Blue, White, Black, White
# 480, Balls: White, White, Green, Blue
# 481, Balls: Blue, Black, Red, Red
# 482, Balls: White, White, Green, Black
# 483, Balls: Blue, White, Black, Blue
# 484, Balls: Blue, Black, Blue, Blue
# 485, Balls: Blue, White, Red, Red
# 486, Balls: Green, White, White, Black
# 487, Balls: Blue, Blue, Red, Red
# 488, Balls: Black, Black, Red, Blue
# 489, Balls: White, Blue, Blue, Blue
# 490, Balls: Black, Black, Blue, Black
# 491, Balls: Green, Green, White, White
# 492, Balls: Green, Red, White, Green
# 493, Balls: Blue, Blue, Black, Red
# 494, Balls: Red, White, Black, Black
# 495, Balls: White, Black, Red, Blue
# 496, Balls: Blue, Black, Green, Blue
# 497, Balls: Black, Green, Blue, Green
# 498, Balls: White, Red, White, White
# 499, Balls: Black, Red, Green, Red
# 500, Balls: Black, White, Black, Black
# 501, Balls: White, White, Blue, Blue
# 502, Balls: Green, Green, Blue, Green
# 503, Balls: Blue, Black, Blue, Green
# 504, Balls: White, Red, White, White
# 505, Balls: Blue, White, Blue, Red
# 506, Balls: Green, Red, Black, White
# 507, Balls: Blue, Blue, Blue, Black
# 508, Balls: Black, Black, Black, Blue
# 509, Balls: White, Green, Black, Green
# 510, Balls: White, Red, White, Black
# 511, Balls: Blue, Green, Black, Blue
# 512, Balls: Black, Black, Black, Black
# 513, Balls: Blue, Blue, Blue, White
# 514, Balls: Black, White, Black, Blue
# 515, Balls: Green, Red, Red, White
# 516, Balls: White, Blue, White, Blue
# 517, Balls: Black, Red, Green, Red
# 518, Balls: Black, Green, Red, Black
# 519, Balls: Green, Green, White, Blue
# 520, Balls: Black, Green, Black, Green
# 521, Balls: Black, Green, Black, White
# 522, Balls: White, White, White, Black
# 523, Balls: Red, Red, Red, Blue
# 524, Balls: Red, White, Green, White
# 525, Balls: Blue, White, Red, Blue
# 526, Balls: Green, Black, Black, Red
# 527, Balls: Black, White, Black, White
# 528, Balls: Blue, Blue, Black, Blue
# 529, Balls: Black, White, Red, Black
# 530, Balls: Green, Black, Green, Black
# 531, Balls: Green, Red, Blue, White
# 532, Balls: Black, Green, Black, Red
# 533, Balls: Blue, Blue, Red, Blue
# 534, Balls: Green, White, Red, White
# 535, Balls: Black, Red, Red, Green
# 536, Balls: Black, Red, Black, White
# 537, Balls: Green, White, Green, Black
# 538, Balls: Red, Red, Blue, Black
# 539, Balls: White, Black, White, Black
# 540, Balls: Blue, Black, White, White
# 541, Balls: Red, Blue, Black, Blue
# 542, Balls: Green, Black, Black, Red
# 543, Balls: Green, Blue, White, White
# 544, Balls: Black, Blue, Blue, Black
# 545, Balls: Blue, Black, Green, White
# 546, Balls: White, White, White, Blue
# 547, Balls: Red, Blue, Blue, Blue
# 548, Balls: Black, Blue, Black, Green
# 549, Balls: Red, Blue, Green, Green
# 550, Balls: White, Blue, White, Black
# 551, Balls: Red, White, Green, Black
# 552, Balls: Blue, White, White, White
# 553, Balls: Green, Blue, Black, Blue
# 554, Balls: Red, Green, Red, Black
# 555, Balls: White, Blue, Blue, Blue
# 556, Balls: Black, Blue, Red, Blue
# 557, Balls: White, Black, Black, Black
# 558, Balls: White, Red, Blue, Blue
# 559, Balls: Black, Green, Blue, Red
# 560, Balls: White, Blue, Green, Black
# 561, Balls: Blue, White, White, Blue
# 562, Balls: Blue, Red, Green, White
# 563, Balls: Blue, Black, Black, Red
# 564, Balls: White, Green, Black, White
# 565, Balls: Red, White, Blue, Red
# 566, Balls: Blue, White, Red, Green
# 567, Balls: Blue, Black, Green, Green
# 568, Balls: Blue, Red, Blue, Blue
# 569, Balls: Green, Black, Blue, White
# 570, Balls: Blue, Blue, Black, Blue
# 571, Balls: Red, Red, Blue, White
# 572, Balls: Black, Black, White, Red
# 573, Balls: Green, White, Black, Red
# 574, Balls: Green, Green, Blue, Blue
# 575, Balls: Blue, Blue, White, Green
# 576, Balls: White, Blue, Blue, White
# 577, Balls: Green, Blue, Blue, Blue
# 578, Balls: Blue, Green, Black, Black
# 579, Balls: Black, Green, Black, Blue
# 580, Balls: Blue, Black, Red, Green
# 581, Balls: Blue, White, Red, Green
# 582, Balls: Black, White, White, Green
# 583, Balls: Blue, Red, White, Red
# 584, Balls: Black, Green, Green, Blue
# 585, Balls: White, White, White, Black
# 586, Balls: Green, Black, Blue, Black
# 587, Balls: Green, Green, Black, Green
# 588, Balls: Red, Blue, Blue, White
# 589, Balls: Red, Blue, Blue, Green
# 590, Balls: Red, Red, White, White
# 591, Balls: White, Green, Blue, Blue
# 592, Balls: Green, Black, Black, Green
# 593, Balls: Blue, Red, White, Blue
# 594, Balls: Blue, White, White, Green
# 595, Balls: Black, Black, Red, Blue
# 596, Balls: Green, Blue, Green, Green
# 597, Balls: Green, Green, White, Green
# 598, Balls: Blue, Blue, Black, Black
# 599, Balls: White, Green, Green, Blue
# 600, Balls: Blue, Blue, Blue, Black
# 601, Balls: Blue, Blue, Black, Blue
# 602, Balls: Black, Green, Blue, White
# 603, Balls: Green, White, Blue, Blue
# 604, Balls: Green, Green, Green, Red
# 605, Balls: Blue, White, Black, Black
# 606, Balls: Black, Blue, White, Green
# 607, Balls: Blue, Blue, Red, Red
# 608, Balls: Black, Black, Green, Blue
# 609, Balls: Green, White, White, Blue
# 610, Balls: Green, Black, Blue, Blue
# 611, Balls: Blue, Blue, White, Black
# 612, Balls: White, White, Green, Red
# 613, Balls: Green, Black, Red, Green
# 614, Balls: Red, Blue, White, White
# 615, Balls: Green, Blue, Blue, Red
# 616, Balls: Blue, Black, Green, Green
# 617, Balls: Black, Green, Blue, Green
# 618, Balls: Black, Black, Green, Green
# 619, Balls: Red, Black, Red, Red
# 620, Balls: White, Black, Black, White
# 621, Balls: Blue, Black, Red, White
# 622, Balls: Green, Black, Green, Black
# 623, Balls: White, Blue, Black, Black
# 624, Balls: Blue, Blue, Black, Red
# 625, Balls: Red, Red, Red, Red
# 626, Balls: Green, Black, White, Red
# 627, Balls: Green, White, Green, Green
# 628, Balls: Black, Black, Black, Blue
# 629, Balls: Black, Green, White, Green
# 630, Balls: Blue, Blue, White, Green
# 631, Balls: Blue, Red, Black, Blue
# 632, Balls: Green, Blue, Black, Black
# 633, Balls: Black, Black, Green, Red
# 634, Balls: Blue, Red, Blue, Blue
# 635, Balls: Blue, White, Black, Black
# 636, Balls: Blue, White, Green, Blue
# 637, Balls: Red, Black, Blue, Blue
# 638, Balls: Black, Black, Green, Blue
# 639, Balls: Blue, White, Black, White
# 640, Balls: Blue, Black, Blue, Green
# 641, Balls: Green, White, Blue, White
# 642, Balls: Red, White, White, Blue
# 643, Balls: Black, Red, Red, Blue
# 644, Balls: Red, Blue, White, Black
# 645, Balls: Blue, Green, Blue, White
# 646, Balls: Green, Blue, Green, Black
# 647, Balls: Blue, Blue, Green, Black
# 648, Balls: Black, White, White, White
# 649, Balls: Red, Black, Black, Black
# 650, Balls: Green, Black, Black, Green
# 651, Balls: White, Red, Blue, White
# 652, Balls: Blue, Blue, Blue, Black
# 653, Balls: Green, Blue, Black, Black
# 654, Balls: White, Blue, White, White
# 655, Balls: Green, Green, Green, Black
# 656, Balls: Red, Blue, Black, Black
# 657, Balls: White, Black, Red, Black
# 658, Balls: Blue, Black, Green, Blue
# 659, Balls: Black, Blue, Black, White
# 660, Balls: White, Blue, Blue, Blue
# 661, Balls: Red, Green, Blue, Blue
# 662, Balls: Black, Black, Black, Red
# 663, Balls: White, Black, Black, Green
# 664, Balls: Blue, Blue, Black, Green
# 665, Balls: White, White, Blue, Black
# 666, Balls: Black, White, Blue, White
# 667, Balls: Green, Red, Black, Red
# 668, Balls: White, Black, Black, Black
# 669, Balls: Blue, Green, Blue, Red
# 670, Balls: Green, Black, Blue, Black
# 671, Balls: White, Black, Green, White
# 672, Balls: Blue, White, Blue, Black
# 673, Balls: Black, Black, Black, Green
